Year,Brand,Model,Mileage_k,Mileage,Rating,Review Count,Price
2021,Mercedes-Benz,A-Class A 220 4MATIC,29,636,3.9,"1,800","$30,900 "
2022,Mercedes-Benz,AMG SL 63 ,5,540,4.7,"1,239","$139,999 "
2022,Mercedes-Benz,AMG SL 63 ,4,890,4.7,"1,239","$132,999 "
2020,Mercedes-Benz,AMG E 53  4MATIC,29,746,4.8,752,"$58,587 "
2021,Mercedes-Benz,AMG GLS 63  4MATIC,32,631,5,"1,502","$95,990 "
2022,Mercedes-Benz,AMG E 53  4MATIC,3,573,4.7,"1,239","$74,999 "
2022,Mercedes-Benz,AMG SL 63 ,1,254,4.7,"1,239","$130,999 "
2023,Mercedes-Benz,GLE 350  4MATIC,23,71,3.2,98,"$55,995 "
2021,Mercedes-Benz,AMG GT C,15,755,4.8,902,"$71,999 "
2023,Mercedes-Benz,AMG CLA 45  4MATIC,2,910,4.5,344,"$62,975 "
2021,Mercedes-Benz,AMG GT 53 ,17,499,4.7,"1,594","$82,895 "
2023,Mercedes-Benz,EQB 250 ,3,159,4.6,585,"$50,226 "
2019,Mercedes-Benz,CLA 250  4MATIC,61,419,4,377,"$22,495 "
2023,Mercedes-Benz,GLE 450 GLE 450,15,9,4.8,899,"$63,998 "
2020,Mercedes-Benz,SL 450,14,21,4.3,352,"$65,024 "
2023,Mercedes-Benz,EQE 350  4MATIC,3,83,4.9,"2,166","$69,771 "
2023,Mercedes-Benz,GLC 300  4MATIC,4,425,4,377,"$51,995 "
2020,Mercedes-Benz,AMG E 53  4MATIC,12,705,4.5,991,"$57,877 "
2021,Mercedes-Benz,AMG GLC 43 4MATIC Coupe,20,431,4.7,"1,424","$53,977 "
2017,Mercedes-Benz,SLC 300 ,61,614,4.5,"1,050","$22,498 "
2021,Mercedes-Benz,A-Class A 220,29,909,4,150,"$28,784 "
2020,Mercedes-Benz,SL 450 ,12,708,4.7,"1,948","$67,800 "
2020,Mercedes-Benz,GLE 450 4MATIC,44,343,3.8,146,"$42,595 "
2023,Mercedes-Benz,EQS 450+ 450,10,714,4,526,"$74,788 "
2023,Mercedes-Benz,AMG CLA 45 AMG CLA 45 4MATIC,7,709,4.3,352,"$58,770 "
2022,Mercedes-Benz,AMG CLA 45  4MATIC,28,446,4.7,"1,371","$53,690 "
2023,Mercedes-Benz,AMG CLA 35  4MATIC,4,559,4.9,"2,118","$46,900 "
2019,Mercedes-Benz,CLS 450 ,38,471,4.8,"1,094","$38,996 "
2024,Mercedes-Benz,GLE 350  4MATIC,6,110,4.7,192,"$69,306 "
2019,Mercedes-Benz,CLS 450  4MATIC,55,90,4.6,716,"$39,442 "
